X;Y;Cameraid
-0.10283;51.4914;1
-0.10411;51.4902;2
-0.10738;51.4868;3
-0.1092;51.485;4
-0.11208;51.4824;5
-0.11356;51.4808;6
-0.11451;51.4798;7
-0.11531;51.4793;8
-0.11667;51.4777;9
-0.11953;51.475;10
-0.12036;51.4745,11
